Criminality,Area of Responsibility (AOR),Country of Citizenship,Fiscal Year,Fiscal Quarter,Fiscal Month,Month-Year,Administrative Arrests
Criminal Conviction,San Francisco,GUATEMALA,2022,1,3,Dec 2021,14
Criminal Conviction,San Francisco,GUATEMALA,2022,4,12,Sep 2022,10
Criminal Conviction,San Francisco,GUATEMALA,2023,2,6,Mar 2023,16
Criminal Conviction,San Francisco,GUATEMALA,2023,2,4,Jan 2023,10
Criminal Conviction,San Francisco,GUATEMALA,2023,3,8,May 2023,14
Criminal Conviction,San Francisco,GUATEMALA,2023,3,9,Jun 2023,16
Criminal Conviction,San Francisco,GUATEMALA,2023,4,11,Aug 2023,10
Criminal Conviction,San Francisco,GUATEMALA,2024,2,5,Feb 2024,10
Criminal Conviction,San Francisco,GUATEMALA,2024,2,4,Jan 2024,12
Criminal Conviction,San Francisco,GUATEMALA,2024,3,8,May 2024,11
Criminal Conviction,San Francisco,GUATEMALA,2024,4,10,Jul 2024,12
Criminal Conviction,San Francisco,HONDURAS,2023,3,7,Apr 2023,10
Criminal Conviction,San Francisco,HONDURAS,2023,3,8,May 2023,11
Criminal Conviction,San Francisco,HONDURAS,2023,4,11,Aug 2023,13
Criminal Conviction,San Francisco,HONDURAS,2024,1,3,Dec 2023,17
Criminal Conviction,San Francisco,HONDURAS,2024,1,2,Nov 2023,31
Criminal Conviction,San Francisco,HONDURAS,2024,1,1,Oct 2023,18
Criminal Conviction,San Francisco,HONDURAS,2024,2,5,Feb 2024,12
Criminal Conviction,San Francisco,HONDURAS,2024,2,6,Mar 2024,16
Criminal Conviction,San Francisco,HONDURAS,2024,2,4,Jan 2024,10
Criminal Conviction,San Francisco,HONDURAS,2024,3,7,Apr 2024,16
Criminal Conviction,San Francisco,HONDURAS,2024,3,8,May 2024,14
Criminal Conviction,San Francisco,HONDURAS,2024,3,9,Jun 2024,14
Criminal Conviction,San Francisco,HONDURAS,2024,4,10,Jul 2024,11
Criminal Conviction,San Francisco,MEXICO,2021,1,3,Dec 2020,112
Criminal Conviction,San Francisco,MEXICO,2021,1,2,Nov 2020,120
Criminal Conviction,San Francisco,MEXICO,2021,1,1,Oct 2020,134
Criminal Conviction,San Francisco,MEXICO,2021,2,5,Feb 2021,65
Criminal Conviction,San Francisco,MEXICO,2021,2,6,Mar 2021,79
Criminal Conviction,San Francisco,MEXICO,2021,2,4,Jan 2021,106
Criminal Conviction,San Francisco,MEXICO,2021,3,7,Apr 2021,104
Criminal Conviction,San Francisco,MEXICO,2021,3,8,May 2021,62
Criminal Conviction,San Francisco,MEXICO,2021,3,9,Jun 2021,95
Criminal Conviction,San Francisco,MEXICO,2021,4,10,Jul 2021,86
Criminal Conviction,San Francisco,MEXICO,2021,4,11,Aug 2021,96
Criminal Conviction,San Francisco,MEXICO,2021,4,12,Sep 2021,137
Criminal Conviction,San Francisco,MEXICO,2022,1,3,Dec 2021,93
Criminal Conviction,San Francisco,MEXICO,2022,1,2,Nov 2021,100
Criminal Conviction,San Francisco,MEXICO,2022,1,1,Oct 2021,96
Criminal Conviction,San Francisco,MEXICO,2022,2,5,Feb 2022,103
Criminal Conviction,San Francisco,MEXICO,2022,2,6,Mar 2022,92
Criminal Conviction,San Francisco,MEXICO,2022,2,4,Jan 2022,70
Criminal Conviction,San Francisco,MEXICO,2022,3,7,Apr 2022,76
Criminal Conviction,San Francisco,MEXICO,2022,3,8,May 2022,71
Criminal Conviction,San Francisco,MEXICO,2022,3,9,Jun 2022,91
Criminal Conviction,San Francisco,MEXICO,2022,4,10,Jul 2022,96
Criminal Conviction,San Francisco,MEXICO,2022,4,11,Aug 2022,106
Criminal Conviction,San Francisco,MEXICO,2022,4,12,Sep 2022,104
Criminal Conviction,San Francisco,MEXICO,2023,1,3,Dec 2022,112
Criminal Conviction,San Francisco,MEXICO,2023,1,2,Nov 2022,117
Criminal Conviction,San Francisco,MEXICO,2023,1,1,Oct 2022,90
Criminal Conviction,San Francisco,MEXICO,2023,2,5,Feb 2023,122
Criminal Conviction,San Francisco,MEXICO,2023,2,6,Mar 2023,157
Criminal Conviction,San Francisco,MEXICO,2023,2,4,Jan 2023,141
Criminal Conviction,San Francisco,MEXICO,2023,3,7,Apr 2023,106
Criminal Conviction,San Francisco,MEXICO,2023,3,8,May 2023,120
Criminal Conviction,San Francisco,MEXICO,2023,3,9,Jun 2023,124
Criminal Conviction,San Francisco,MEXICO,2023,4,10,Jul 2023,122
Criminal Conviction,San Francisco,MEXICO,2023,4,11,Aug 2023,138
Criminal Conviction,San Francisco,MEXICO,2023,4,12,Sep 2023,110
Criminal Conviction,San Francisco,MEXICO,2024,1,3,Dec 2023,101
Criminal Conviction,San Francisco,MEXICO,2024,1,2,Nov 2023,100
Criminal Conviction,San Francisco,MEXICO,2024,1,1,Oct 2023,99
Criminal Conviction,San Francisco,MEXICO,2024,2,5,Feb 2024,145
Criminal Conviction,San Francisco,MEXICO,2024,2,6,Mar 2024,125
Criminal Conviction,San Francisco,MEXICO,2024,2,4,Jan 2024,126
Criminal Conviction,San Francisco,MEXICO,2024,3,7,Apr 2024,137
Criminal Conviction,San Francisco,MEXICO,2024,3,8,May 2024,127
Criminal Conviction,San Francisco,MEXICO,2024,3,9,Jun 2024,106
Criminal Conviction,San Francisco,MEXICO,2024,4,10,Jul 2024,118
Criminal Conviction,San Francisco,MEXICO,2024,4,11,Aug 2024,100
Criminal Conviction,San Francisco,MEXICO,2024,4,12,Sep 2024,105
Criminal Conviction,Seattle,HONDURAS,2023,2,6,Mar 2023,13
Criminal Conviction,Seattle,HONDURAS,2024,4,11,Aug 2024,11
Criminal Conviction,Seattle,MEXICO,2021,1,3,Dec 2020,52
Criminal Conviction,Seattle,MEXICO,2021,1,2,Nov 2020,44
Criminal Conviction,Seattle,MEXICO,2021,1,1,Oct 2020,64
Criminal Conviction,Seattle,MEXICO,2021,2,5,Feb 2021,43
Criminal Conviction,Seattle,MEXICO,2021,2,6,Mar 2021,37
Criminal Conviction,Seattle,MEXICO,2021,2,4,Jan 2021,46
Criminal Conviction,Seattle,MEXICO,2021,3,7,Apr 2021,29
Criminal Conviction,Seattle,MEXICO,2021,3,8,May 2021,36
Criminal Conviction,Seattle,MEXICO,2021,3,9,Jun 2021,51
Criminal Conviction,Seattle,MEXICO,2021,4,10,Jul 2021,43
Criminal Conviction,Seattle,MEXICO,2021,4,11,Aug 2021,26
Criminal Conviction,Seattle,MEXICO,2021,4,12,Sep 2021,31
Criminal Conviction,Seattle,MEXICO,2022,1,3,Dec 2021,27
Criminal Conviction,Seattle,MEXICO,2022,1,2,Nov 2021,26
Criminal Conviction,Seattle,MEXICO,2022,1,1,Oct 2021,19
Criminal Conviction,Seattle,MEXICO,2022,2,5,Feb 2022,24
Criminal Conviction,Seattle,MEXICO,2022,2,6,Mar 2022,44
Criminal Conviction,Seattle,MEXICO,2022,2,4,Jan 2022,19
Criminal Conviction,Seattle,MEXICO,2022,3,7,Apr 2022,34
Criminal Conviction,Seattle,MEXICO,2022,3,8,May 2022,28
Criminal Conviction,Seattle,MEXICO,2022,3,9,Jun 2022,31
Criminal Conviction,Seattle,MEXICO,2022,4,10,Jul 2022,19
Criminal Conviction,Seattle,MEXICO,2022,4,11,Aug 2022,40
Criminal Conviction,Seattle,MEXICO,2022,4,12,Sep 2022,33
Criminal Conviction,Seattle,MEXICO,2023,1,3,Dec 2022,36
Criminal Conviction,Seattle,MEXICO,2023,1,2,Nov 2022,40
Criminal Conviction,Seattle,MEXICO,2023,1,1,Oct 2022,27
Criminal Conviction,Seattle,MEXICO,2023,2,5,Feb 2023,53
Criminal Conviction,Seattle,MEXICO,2023,2,6,Mar 2023,56
Criminal Conviction,Seattle,MEXICO,2023,2,4,Jan 2023,46
Criminal Conviction,Seattle,MEXICO,2023,3,7,Apr 2023,30
Criminal Conviction,Seattle,MEXICO,2023,3,8,May 2023,53
Criminal Conviction,Seattle,MEXICO,2023,3,9,Jun 2023,40
Criminal Conviction,Seattle,MEXICO,2023,4,10,Jul 2023,50
Criminal Conviction,Seattle,MEXICO,2023,4,11,Aug 2023,44
Criminal Conviction,Seattle,MEXICO,2023,4,12,Sep 2023,30
Criminal Conviction,Seattle,MEXICO,2024,1,3,Dec 2023,30
Criminal Conviction,Seattle,MEXICO,2024,1,2,Nov 2023,32
Criminal Conviction,Seattle,MEXICO,2024,1,1,Oct 2023,36
Criminal Conviction,Seattle,MEXICO,2024,2,5,Feb 2024,45
Criminal Conviction,Seattle,MEXICO,2024,2,6,Mar 2024,37
Criminal Conviction,Seattle,MEXICO,2024,2,4,Jan 2024,36
Criminal Conviction,Seattle,MEXICO,2024,3,7,Apr 2024,49
Criminal Conviction,Seattle,MEXICO,2024,3,8,May 2024,41
Criminal Conviction,Seattle,MEXICO,2024,3,9,Jun 2024,44
Criminal Conviction,Seattle,MEXICO,2024,4,10,Jul 2024,54
Criminal Conviction,Seattle,MEXICO,2024,4,11,Aug 2024,47
Criminal Conviction,Seattle,MEXICO,2024,4,12,Sep 2024,35
Criminal Conviction,St. Paul,EL SALVADOR,2024,2,5,Feb 2024,12
Criminal Conviction,St. Paul,EL SALVADOR,2024,4,10,Jul 2024,11
Criminal Conviction,St. Paul,EL SALVADOR,2024,4,12,Sep 2024,14
Criminal Conviction,St. Paul,GUATEMALA,2021,1,3,Dec 2020,29
Criminal Conviction,St. Paul,GUATEMALA,2021,1,2,Nov 2020,16
Criminal Conviction,St. Paul,GUATEMALA,2021,1,1,Oct 2020,19
Criminal Conviction,St. Paul,GUATEMALA,2021,2,5,Feb 2021,10
Criminal Conviction,St. Paul,GUATEMALA,2021,2,4,Jan 2021,17
Criminal Conviction,St. Paul,GUATEMALA,2021,3,7,Apr 2021,13
Criminal Conviction,St. Paul,GUATEMALA,2021,4,11,Aug 2021,13
Criminal Conviction,St. Paul,GUATEMALA,2022,1,2,Nov 2021,10
Criminal Conviction,St. Paul,GUATEMALA,2022,2,6,Mar 2022,13
Criminal Conviction,St. Paul,GUATEMALA,2022,3,8,May 2022,15
Criminal Conviction,St. Paul,GUATEMALA,2022,3,9,Jun 2022,16
Criminal Conviction,St. Paul,GUATEMALA,2022,4,10,Jul 2022,15
Criminal Conviction,St. Paul,GUATEMALA,2022,4,11,Aug 2022,21
Criminal Conviction,St. Paul,GUATEMALA,2022,4,12,Sep 2022,21
Criminal Conviction,St. Paul,GUATEMALA,2023,1,3,Dec 2022,21
Criminal Conviction,St. Paul,GUATEMALA,2023,1,2,Nov 2022,23
Criminal Conviction,St. Paul,GUATEMALA,2023,1,1,Oct 2022,24
Criminal Conviction,St. Paul,GUATEMALA,2023,2,5,Feb 2023,22
Criminal Conviction,St. Paul,GUATEMALA,2023,2,6,Mar 2023,34
Criminal Conviction,St. Paul,GUATEMALA,2023,2,4,Jan 2023,28
Criminal Conviction,St. Paul,GUATEMALA,2023,3,7,Apr 2023,24
Criminal Conviction,St. Paul,GUATEMALA,2023,3,8,May 2023,22
Criminal Conviction,St. Paul,GUATEMALA,2023,3,9,Jun 2023,22
Criminal Conviction,St. Paul,GUATEMALA,2023,4,10,Jul 2023,25
Criminal Conviction,St. Paul,GUATEMALA,2023,4,11,Aug 2023,15
Criminal Conviction,St. Paul,GUATEMALA,2023,4,12,Sep 2023,16
Criminal Conviction,St. Paul,GUATEMALA,2024,1,3,Dec 2023,20
Criminal Conviction,St. Paul,GUATEMALA,2024,1,2,Nov 2023,20
Criminal Conviction,St. Paul,GUATEMALA,2024,1,1,Oct 2023,12
Criminal Conviction,St. Paul,GUATEMALA,2024,2,5,Feb 2024,18
Criminal Conviction,St. Paul,GUATEMALA,2024,2,6,Mar 2024,16
Criminal Conviction,St. Paul,GUATEMALA,2024,2,4,Jan 2024,24
Criminal Conviction,St. Paul,GUATEMALA,2024,3,7,Apr 2024,19
Criminal Conviction,St. Paul,GUATEMALA,2024,3,8,May 2024,21
Criminal Conviction,St. Paul,GUATEMALA,2024,3,9,Jun 2024,13
Criminal Conviction,St. Paul,GUATEMALA,2024,4,10,Jul 2024,14
Criminal Conviction,St. Paul,GUATEMALA,2024,4,11,Aug 2024,20
Criminal Conviction,St. Paul,GUATEMALA,2024,4,12,Sep 2024,17
Criminal Conviction,St. Paul,HONDURAS,2021,1,3,Dec 2020,12
Criminal Conviction,St. Paul,HONDURAS,2021,1,2,Nov 2020,10
Criminal Conviction,St. Paul,HONDURAS,2021,2,4,Jan 2021,13
Criminal Conviction,St. Paul,HONDURAS,2022,4,11,Aug 2022,12
Criminal Conviction,St. Paul,HONDURAS,2023,1,2,Nov 2022,12
Criminal Conviction,St. Paul,HONDURAS,2023,2,6,Mar 2023,10
Criminal Conviction,St. Paul,HONDURAS,2023,3,8,May 2023,13
Criminal Conviction,St. Paul,HONDURAS,2023,3,9,Jun 2023,11
Criminal Conviction,St. Paul,HONDURAS,2023,4,10,Jul 2023,13
Criminal Conviction,St. Paul,HONDURAS,2023,4,11,Aug 2023,10
Criminal Conviction,St. Paul,HONDURAS,2024,1,3,Dec 2023,11
Criminal Conviction,St. Paul,HONDURAS,2024,1,2,Nov 2023,12
Criminal Conviction,St. Paul,HONDURAS,2024,2,6,Mar 2024,11
Criminal Conviction,St. Paul,HONDURAS,2024,3,7,Apr 2024,17
Criminal Conviction,St. Paul,MEXICO,2021,1,3,Dec 2020,64
Criminal Conviction,St. Paul,MEXICO,2021,1,2,Nov 2020,61
Criminal Conviction,St. Paul,MEXICO,2021,1,1,Oct 2020,78
Criminal Conviction,St. Paul,MEXICO,2021,2,5,Feb 2021,14
Criminal Conviction,St. Paul,MEXICO,2021,2,6,Mar 2021,31
Criminal Conviction,St. Paul,MEXICO,2021,2,4,Jan 2021,71
Criminal Conviction,St. Paul,MEXICO,2021,3,7,Apr 2021,17
Criminal Conviction,St. Paul,MEXICO,2021,3,8,May 2021,21
Criminal Conviction,St. Paul,MEXICO,2021,3,9,Jun 2021,18
Criminal Conviction,St. Paul,MEXICO,2021,4,10,Jul 2021,22
Criminal Conviction,St. Paul,MEXICO,2021,4,11,Aug 2021,36
Criminal Conviction,St. Paul,MEXICO,2021,4,12,Sep 2021,34
Criminal Conviction,St. Paul,MEXICO,2022,1,3,Dec 2021,15
Criminal Conviction,St. Paul,MEXICO,2022,1,2,Nov 2021,19
Criminal Conviction,St. Paul,MEXICO,2022,1,1,Oct 2021,24
Criminal Conviction,St. Paul,MEXICO,2022,2,5,Feb 2022,24
Criminal Conviction,St. Paul,MEXICO,2022,2,6,Mar 2022,27
Criminal Conviction,St. Paul,MEXICO,2022,2,4,Jan 2022,23
Criminal Conviction,St. Paul,MEXICO,2022,3,7,Apr 2022,26
Criminal Conviction,St. Paul,MEXICO,2022,3,8,May 2022,44
Criminal Conviction,St. Paul,MEXICO,2022,3,9,Jun 2022,35
Criminal Conviction,St. Paul,MEXICO,2022,4,10,Jul 2022,29
Criminal Conviction,St. Paul,MEXICO,2022,4,11,Aug 2022,46
Criminal Conviction,St. Paul,MEXICO,2022,4,12,Sep 2022,53
Criminal Conviction,St. Paul,MEXICO,2023,1,3,Dec 2022,42
Criminal Conviction,St. Paul,MEXICO,2023,1,2,Nov 2022,42
Criminal Conviction,St. Paul,MEXICO,2023,1,1,Oct 2022,46
Criminal Conviction,St. Paul,MEXICO,2023,2,5,Feb 2023,48
Criminal Conviction,St. Paul,MEXICO,2023,2,6,Mar 2023,62
Criminal Conviction,St. Paul,MEXICO,2023,2,4,Jan 2023,48
Criminal Conviction,St. Paul,MEXICO,2023,3,7,Apr 2023,43
Criminal Conviction,St. Paul,MEXICO,2023,3,8,May 2023,54
Criminal Conviction,St. Paul,MEXICO,2023,3,9,Jun 2023,60
Criminal Conviction,St. Paul,MEXICO,2023,4,10,Jul 2023,50
Criminal Conviction,St. Paul,MEXICO,2023,4,11,Aug 2023,52
Criminal Conviction,St. Paul,MEXICO,2023,4,12,Sep 2023,41
Criminal Conviction,St. Paul,MEXICO,2024,1,3,Dec 2023,41
Criminal Conviction,St. Paul,MEXICO,2024,1,2,Nov 2023,42
Criminal Conviction,St. Paul,MEXICO,2024,1,1,Oct 2023,53
Criminal Conviction,St. Paul,MEXICO,2024,2,5,Feb 2024,60
Criminal Conviction,St. Paul,MEXICO,2024,2,6,Mar 2024,46
Criminal Conviction,St. Paul,MEXICO,2024,2,4,Jan 2024,42
Criminal Conviction,St. Paul,MEXICO,2024,3,7,Apr 2024,44
Criminal Conviction,St. Paul,MEXICO,2024,3,8,May 2024,54
Criminal Conviction,St. Paul,MEXICO,2024,3,9,Jun 2024,42
Criminal Conviction,St. Paul,MEXICO,2024,4,10,Jul 2024,54
Criminal Conviction,St. Paul,MEXICO,2024,4,11,Aug 2024,54
Criminal Conviction,St. Paul,MEXICO,2024,4,12,Sep 2024,57
Criminal Conviction,Unmapped AOR Records,MEXICO,2021,1,3,Dec 2020,14
Criminal Conviction,Unmapped AOR Records,MEXICO,2021,1,2,Nov 2020,11
Criminal Conviction,Unmapped AOR Records,MEXICO,2021,1,1,Oct 2020,28
Criminal Conviction,Unmapped AOR Records,MEXICO,2021,2,6,Mar 2021,12
Criminal Conviction,Unmapped AOR Records,MEXICO,2021,2,4,Jan 2021,11
Criminal Conviction,Unmapped AOR Records,MEXICO,2021,3,7,Apr 2021,14
Criminal Conviction,Unmapped AOR Records,MEXICO,2021,3,8,May 2021,17
Criminal Conviction,Unmapped AOR Records,MEXICO,2021,4,10,Jul 2021,14
Criminal Conviction,Unmapped AOR Records,MEXICO,2021,4,11,Aug 2021,11
Criminal Conviction,Unmapped AOR Records,MEXICO,2021,4,12,Sep 2021,19
Criminal Conviction,Unmapped AOR Records,MEXICO,2022,1,3,Dec 2021,27
Criminal Conviction,Unmapped AOR Records,MEXICO,2022,1,2,Nov 2021,31
Criminal Conviction,Unmapped AOR Records,MEXICO,2022,1,1,Oct 2021,40
Criminal Conviction,Unmapped AOR Records,MEXICO,2022,2,5,Feb 2022,22
Criminal Conviction,Unmapped AOR Records,MEXICO,2022,2,6,Mar 2022,19
Criminal Conviction,Unmapped AOR Records,MEXICO,2022,2,4,Jan 2022,24
Criminal Conviction,Unmapped AOR Records,MEXICO,2022,3,7,Apr 2022,18
Criminal Conviction,Unmapped AOR Records,MEXICO,2022,3,8,May 2022,12
Criminal Conviction,Unmapped AOR Records,MEXICO,2022,3,9,Jun 2022,20
Criminal Conviction,Unmapped AOR Records,MEXICO,2022,4,10,Jul 2022,12
Criminal Conviction,Unmapped AOR Records,MEXICO,2022,4,11,Aug 2022,14
Criminal Conviction,Unmapped AOR Records,MEXICO,2022,4,12,Sep 2022,22
Criminal Conviction,Washington DC,EL SALVADOR,2021,1,3,Dec 2020,19
Criminal Conviction,Washington DC,EL SALVADOR,2021,1,2,Nov 2020,39
Criminal Conviction,Washington DC,EL SALVADOR,2021,1,1,Oct 2020,27
Criminal Conviction,Washington DC,EL SALVADOR,2021,2,5,Feb 2021,15
Criminal Conviction,Washington DC,EL SALVADOR,2021,2,6,Mar 2021,15
Criminal Conviction,Washington DC,EL SALVADOR,2021,2,4,Jan 2021,24
Criminal Conviction,Washington DC,EL SALVADOR,2021,3,7,Apr 2021,12
Criminal Conviction,Washington DC,EL SALVADOR,2021,3,8,May 2021,15
Criminal Conviction,Washington DC,EL SALVADOR,2021,3,9,Jun 2021,14
Criminal Conviction,Washington DC,EL SALVADOR,2021,4,10,Jul 2021,17
Criminal Conviction,Washington DC,EL SALVADOR,2021,4,11,Aug 2021,12
Criminal Conviction,Washington DC,EL SALVADOR,2022,1,3,Dec 2021,12
Criminal Conviction,Washington DC,EL SALVADOR,2022,1,2,Nov 2021,17
Criminal Conviction,Washington DC,EL SALVADOR,2022,1,1,Oct 2021,14
Criminal Conviction,Washington DC,EL SALVADOR,2022,2,5,Feb 2022,13
Criminal Conviction,Washington DC,EL SALVADOR,2022,2,6,Mar 2022,21
Criminal Conviction,Washington DC,EL SALVADOR,2022,2,4,Jan 2022,10
Criminal Conviction,Washington DC,EL SALVADOR,2022,3,7,Apr 2022,22
Criminal Conviction,Washington DC,EL SALVADOR,2022,3,8,May 2022,18
Criminal Conviction,Washington DC,EL SALVADOR,2022,3,9,Jun 2022,20
Criminal Conviction,Washington DC,EL SALVADOR,2022,4,10,Jul 2022,21
Criminal Conviction,Washington DC,EL SALVADOR,2022,4,11,Aug 2022,25
Criminal Conviction,Washington DC,EL SALVADOR,2022,4,12,Sep 2022,15
Criminal Conviction,Washington DC,EL SALVADOR,2023,1,3,Dec 2022,22
Criminal Conviction,Washington DC,EL SALVADOR,2023,1,2,Nov 2022,17
Criminal Conviction,Washington DC,EL SALVADOR,2023,1,1,Oct 2022,19
Criminal Conviction,Washington DC,EL SALVADOR,2023,2,5,Feb 2023,19
Criminal Conviction,Washington DC,EL SALVADOR,2023,2,6,Mar 2023,28
Criminal Conviction,Washington DC,EL SALVADOR,2023,2,4,Jan 2023,24
Criminal Conviction,Washington DC,EL SALVADOR,2023,3,7,Apr 2023,24
Criminal Conviction,Washington DC,EL SALVADOR,2023,3,8,May 2023,26
Criminal Conviction,Washington DC,EL SALVADOR,2023,3,9,Jun 2023,26
Criminal Conviction,Washington DC,EL SALVADOR,2023,4,10,Jul 2023,22
Criminal Conviction,Washington DC,EL SALVADOR,2023,4,11,Aug 2023,27
Criminal Conviction,Washington DC,EL SALVADOR,2023,4,12,Sep 2023,27
Criminal Conviction,Washington DC,EL SALVADOR,2024,1,3,Dec 2023,23
Criminal Conviction,Washington DC,EL SALVADOR,2024,1,2,Nov 2023,20
Criminal Conviction,Washington DC,EL SALVADOR,2024,1,1,Oct 2023,26
Criminal Conviction,Washington DC,EL SALVADOR,2024,2,5,Feb 2024,31
Criminal Conviction,Washington DC,EL SALVADOR,2024,2,6,Mar 2024,26
Criminal Conviction,Washington DC,EL SALVADOR,2024,2,4,Jan 2024,15
Criminal Conviction,Washington DC,EL SALVADOR,2024,3,7,Apr 2024,31
Criminal Conviction,Washington DC,EL SALVADOR,2024,3,8,May 2024,35
Criminal Conviction,Washington DC,EL SALVADOR,2024,3,9,Jun 2024,28
Criminal Conviction,Washington DC,EL SALVADOR,2024,4,10,Jul 2024,34
Criminal Conviction,Washington DC,EL SALVADOR,2024,4,11,Aug 2024,30
Criminal Conviction,Washington DC,EL SALVADOR,2024,4,12,Sep 2024,29
Criminal Conviction,Washington DC,GUATEMALA,2021,1,3,Dec 2020,16
Criminal Conviction,Washington DC,GUATEMALA,2021,1,2,Nov 2020,19
Criminal Conviction,Washington DC,GUATEMALA,2021,1,1,Oct 2020,18
Criminal Conviction,Washington DC,GUATEMALA,2021,2,4,Jan 2021,18
Criminal Conviction,Washington DC,GUATEMALA,2022,2,6,Mar 2022,10
Criminal Conviction,Washington DC,GUATEMALA,2022,3,7,Apr 2022,11
Criminal Conviction,Washington DC,GUATEMALA,2022,3,8,May 2022,12
Criminal Conviction,Washington DC,GUATEMALA,2022,4,10,Jul 2022,15
Criminal Conviction,Washington DC,GUATEMALA,2022,4,11,Aug 2022,13
Criminal Conviction,Washington DC,GUATEMALA,2022,4,12,Sep 2022,14
Criminal Conviction,Washington DC,GUATEMALA,2023,1,2,Nov 2022,12
Criminal Conviction,Washington DC,GUATEMALA,2023,1,1,Oct 2022,13
Criminal Conviction,Washington DC,GUATEMALA,2023,2,5,Feb 2023,15
Criminal Conviction,Washington DC,GUATEMALA,2023,2,6,Mar 2023,23
Criminal Conviction,Washington DC,GUATEMALA,2023,2,4,Jan 2023,24
Criminal Conviction,Washington DC,GUATEMALA,2023,3,7,Apr 2023,18
Criminal Conviction,Washington DC,GUATEMALA,2023,3,8,May 2023,22
Criminal Conviction,Washington DC,GUATEMALA,2023,3,9,Jun 2023,20
Criminal Conviction,Washington DC,GUATEMALA,2023,4,10,Jul 2023,18
Criminal Conviction,Washington DC,GUATEMALA,2023,4,11,Aug 2023,18
Criminal Conviction,Washington DC,GUATEMALA,2023,4,12,Sep 2023,14
Criminal Conviction,Washington DC,GUATEMALA,2024,1,3,Dec 2023,22
Criminal Conviction,Washington DC,GUATEMALA,2024,1,2,Nov 2023,19
Criminal Conviction,Washington DC,GUATEMALA,2024,1,1,Oct 2023,14
Criminal Conviction,Washington DC,GUATEMALA,2024,2,5,Feb 2024,19
Criminal Conviction,Washington DC,GUATEMALA,2024,2,6,Mar 2024,25
Criminal Conviction,Washington DC,GUATEMALA,2024,2,4,Jan 2024,15
Criminal Conviction,Washington DC,GUATEMALA,2024,3,7,Apr 2024,24
Criminal Conviction,Washington DC,GUATEMALA,2024,3,8,May 2024,28
Criminal Conviction,Washington DC,GUATEMALA,2024,3,9,Jun 2024,18
Criminal Conviction,Washington DC,GUATEMALA,2024,4,10,Jul 2024,19
Criminal Conviction,Washington DC,GUATEMALA,2024,4,11,Aug 2024,24
Criminal Conviction,Washington DC,GUATEMALA,2024,4,12,Sep 2024,23
Criminal Conviction,Washington DC,HONDURAS,2021,1,3,Dec 2020,31
Criminal Conviction,Washington DC,HONDURAS,2021,1,2,Nov 2020,16
Criminal Conviction,Washington DC,HONDURAS,2021,1,1,Oct 2020,20
Criminal Conviction,Washington DC,HONDURAS,2021,2,6,Mar 2021,13
Criminal Conviction,Washington DC,HONDURAS,2021,2,4,Jan 2021,17
Criminal Conviction,Washington DC,HONDURAS,2021,3,7,Apr 2021,11
Criminal Conviction,Washington DC,HONDURAS,2021,3,8,May 2021,11
Criminal Conviction,Washington DC,HONDURAS,2021,4,11,Aug 2021,15
Criminal Conviction,Washington DC,HONDURAS,2021,4,12,Sep 2021,12
Criminal Conviction,Washington DC,HONDURAS,2022,1,3,Dec 2021,15
Criminal Conviction,Washington DC,HONDURAS,2022,1,1,Oct 2021,13
Criminal Conviction,Washington DC,HONDURAS,2022,2,5,Feb 2022,10
Criminal Conviction,Washington DC,HONDURAS,2022,4,10,Jul 2022,11
Criminal Conviction,Washington DC,HONDURAS,2022,4,11,Aug 2022,19
Criminal Conviction,Washington DC,HONDURAS,2022,4,12,Sep 2022,14
Criminal Conviction,Washington DC,HONDURAS,2023,1,3,Dec 2022,16
Criminal Conviction,Washington DC,HONDURAS,2023,1,2,Nov 2022,17
Criminal Conviction,Washington DC,HONDURAS,2023,1,1,Oct 2022,17
Criminal Conviction,Washington DC,HONDURAS,2023,2,5,Feb 2023,20
Criminal Conviction,Washington DC,HONDURAS,2023,2,6,Mar 2023,21
Criminal Conviction,Washington DC,HONDURAS,2023,2,4,Jan 2023,29
Criminal Conviction,Washington DC,HONDURAS,2023,3,7,Apr 2023,22
Criminal Conviction,Washington DC,HONDURAS,2023,3,8,May 2023,17
Criminal Conviction,Washington DC,HONDURAS,2023,3,9,Jun 2023,19
Criminal Conviction,Washington DC,HONDURAS,2023,4,10,Jul 2023,10
Criminal Conviction,Washington DC,HONDURAS,2023,4,11,Aug 2023,27
Criminal Conviction,Washington DC,HONDURAS,2024,1,3,Dec 2023,18
Criminal Conviction,Washington DC,HONDURAS,2024,1,2,Nov 2023,23
Criminal Conviction,Washington DC,HONDURAS,2024,1,1,Oct 2023,17
Criminal Conviction,Washington DC,HONDURAS,2024,2,5,Feb 2024,25
Criminal Conviction,Washington DC,HONDURAS,2024,2,6,Mar 2024,19
Criminal Conviction,Washington DC,HONDURAS,2024,2,4,Jan 2024,24
Criminal Conviction,Washington DC,HONDURAS,2024,3,7,Apr 2024,23
Criminal Conviction,Washington DC,HONDURAS,2024,3,8,May 2024,13
Criminal Conviction,Washington DC,HONDURAS,2024,3,9,Jun 2024,16
Criminal Conviction,Washington DC,HONDURAS,2024,4,10,Jul 2024,16
Criminal Conviction,Washington DC,HONDURAS,2024,4,11,Aug 2024,25
Criminal Conviction,Washington DC,HONDURAS,2024,4,12,Sep 2024,15
Criminal Conviction,Washington DC,MEXICO,2021,1,3,Dec 2020,35
