Criminality,Area of Responsibility (AOR),Country of Citizenship,Fiscal Year,Fiscal Quarter,Fiscal Month,Month-Year,Administrative Arrests
Criminal Conviction,Atlanta,COLOMBIA,2023,2,5,Feb 2023,18
Criminal Conviction,Atlanta,COLOMBIA,2024,1,1,Oct 2023,16
Criminal Conviction,Atlanta,COLOMBIA,2024,4,10,Jul 2024,11
Criminal Conviction,Atlanta,COLOMBIA,2024,4,11,Aug 2024,11
Pending Criminal Charges,Unmapped AOR Records,MEXICO,2021,1,1,Oct 2020,10
